分钟,phase_id,resource_id,resource_name,gain_per_min,spend_per_min,net_per_min,target_stock_min,target_stock_max,main_use,validation_note
3,newbie,ling_stone,灵石,35,12,23,80,180,普通装备和基础消耗,10分钟内能买2-3个小成长
3,newbie,herb,草药,4,1,3,8,20,基础丹药,第一颗丹药不应超过8分钟
3,newbie,xiuwei,修为,90,50,40,120,300,修炼突破,第一次小突破5-10分钟
5,entry,ling_stone,灵石,45,20,25,120,260,强化与补给,普通装备时间成本3-5分钟
5,entry,herb,草药,5,2,3,12,28,持续炼丹,草药不足应促使探索选择
5,entry,xiuwei,修为,120,75,45,200,450,修炼突破,小目标不超过10分钟
8,pressure,ling_stone,灵石,60,35,25,180,380,装备强化,开始出现灵石取舍
8,pressure,herb,草药,7,4,3,16,36,关键丹药,丹药成本8-15分钟
8,pressure,xiuwei,修为,155,105,50,320,680,境界推进,中目标15-30分钟
10,breakthrough,ling_stone,灵石,95,65,30,300,700,高阶强化,资源不应长期溢出
10,breakthrough,herb,草药,10,7,3,28,60,突破丹药,突破前需要明确囤积目标
10,breakthrough,xiuwei,修为,240,175,65,700,1500,大突破,大突破45-90分钟
